"marker","lg","cM"
"Lcu.2RBY.Chr1p721741","LG1",0
"Lcu.2RBY.Chr1p433108","LG1",2.61
"Lcu.2RBY.Chr1p122227","LG1",4.17
"Lcu.2RBY.Chr1p121240","LG1",4.67
"Lcu.2RBY.Chr1p82254","LG1",5.21
"Lcu.2RBY.Chr1p80346","LG1",9.49
"Lcu.2RBY.Chr1p77553","LG1",19.1
"Lcu.2RBY.Chr1p220256419","LG1",42.65
"Lcu.2RBY.Chr1p95939503","LG1",49.42
"Lcu.2RBY.Chr1p59044234","LG1",50.45
"Lcu.2RBY.Chr1p61630049","LG1",51.41
"Lcu.2RBY.Chr1p56057991","LG1",52.88
"Lcu.2RBY.Chr1p76667466","LG1",53.85
"Lcu.2RBY.Chr1p55298868","LG1",55.36
"Lcu.2RBY.Chr1p98505231","LG1",57.43
"Lcu.2RBY.Chr1p71554021","LG1",58.45
"Lcu.2RBY.Chr1p96887492","LG1",59.44
"Lcu.2RBY.Chr1p75432171","LG1",60.43
"Lcu.2RBY.Chr1p86036480","LG1",61.91
"Lcu.2RBY.Chr1p308474774","LG1",63.4
"Lcu.2RBY.Chr1p295073765","LG1",65.93
"Lcu.2RBY.Chr1p299629948","LG1",68.45
"Lcu.2RBY.Chr1p316619366","LG1",69.48
"Lcu.2RBY.Chr1p297752280","LG1",70.5
"Lcu.2RBY.Chr1p308843659","LG1",71.48
"Lcu.2RBY.Chr1p308848225","LG1",72.48
"Lcu.2RBY.Chr1p298317859","LG1",72.97
"Lcu.2RBY.Chr1p304474213","LG1",73.48
"Lcu.2RBY.Chr1p304083663","LG1",74.52
"Lcu.2RBY.Chr1p305740779","LG1",75.54
"Lcu.2RBY.Chr1p305230022","LG1",76.56
"Lcu.2RBY.Chr1p300377472","LG1",77.55
"Lcu.2RBY.Chr1p306179646","LG1",78.06
"Lcu.2RBY.Chr1p318301202","LG1",79.06
"Lcu.2RBY.Chr1p320537652","LG1",81.19
"Lcu.2RBY.Chr1p323205771","LG1",83.39
"Lcu.2RBY.Chr1p322771897","LG1",84.43
"Lcu.2RBY.Chr1p322532691","LG1",84.94
"Lcu.2RBY.Chr1p322771715","LG1",85.45
"Lcu.2RBY.Chr1p322245097","LG1",85.94
"Lcu.2RBY.Chr1p331890732","LG1",86.43
"Lcu.2RBY.Chr1p330636627","LG1",87.48
"Lcu.2RBY.Chr1p338223419","LG1",88.62
"Lcu.2RBY.Chr1p338217418","LG1",89.69
"Lcu.2RBY.Chr1p336513038","LG1",90.18
"Lcu.2RBY.Chr1p338570507","LG1",91.18
"Lcu.2RBY.Chr1p338386832","LG1",91.69
"Lcu.2RBY.Chr1p338454765","LG1",92.68
"Lcu.2RBY.Chr1p337627091","LG1",93.66
"Lcu.2RBY.Chr1p319927194","LG1",95.79
"Lcu.2RBY.Chr1p321390722","LG1",96.82
"Lcu.2RBY.Chr1p321156167","LG1",98.44
"Lcu.2RBY.Chr1p321213767","LG1",100.14
"Lcu.2RBY.Chr1p322401008","LG1",101.19
"Lcu.2RBY.Chr1p322400791","LG1",103.32
"Lcu.2RBY.Chr1p298044696","LG1",105.36
"Lcu.2RBY.Chr1p297885422","LG1",106.33
"Lcu.2RBY.Chr1p307648650","LG1",107.29
"Lcu.2RBY.Chr1p308470973","LG1",108.26
"Lcu.2RBY.Chr1p318985320","LG1",109.29
"Lcu.2RBY.Chr1p318532388","LG1",110.32
"Lcu.2RBY.Chr1p321216002","LG1",110.82
"Lcu.2RBY.Chr1p321216093","LG1",111.32
"Lcu.2RBY.Chr1p322770510","LG1",112.36
"Lcu.2RBY.Chr1p323343235","LG1",113.38
"Lcu.2RBY.Chr1p296455320","LG1",114.36
"Lcu.2RBY.Chr1p297617508","LG1",114.83
"Lcu.2RBY.Chr1p313046741","LG1",116.3
"Lcu.2RBY.Chr1p300272960","LG1",118.85
"Lcu.2RBY.Chr1p307648478","LG1",121.49
"Lcu.2RBY.Chr1p282783976","LG1",127.84
"Lcu.2RBY.Chr1p296713165","LG1",134.28
"Lcu.2RBY.Chr1p257005679","LG1",135.81
"Lcu.2RBY.Chr1p310354577","LG1",137.39
"Lcu.2RBY.Chr1p299248147","LG1",137.92
"Lcu.2RBY.Chr1p310308344","LG1",138.43
"Lcu.2RBY.Chr1p190041847","LG1",140.02
"Lcu.2RBY.Chr1p195522182","LG1",141.08
"Lcu.2RBY.Chr1p78269520","LG1",142.08
"Lcu.2RBY.Chr1p90573874","LG1",142.56
"Lcu.2RBY.Chr1p33008432","LG1",144.6
"Lcu.2RBY.Chr1p34804795","LG1",146.71
"Lcu.2RBY.Chr1p34804797","LG1",147.2
"Lcu.2RBY.Chr1p34805299","LG1",148.72
"Lcu.2RBY.Chr1p32516604","LG1",149.71
"Lcu.2RBY.Chr1p26248372","LG1",150.71
"Lcu.2RBY.Chr1p26217905","LG1",151.71
"Lcu.2RBY.Chr1p23179218","LG1",153.81
"Lcu.2RBY.Chr1p22967135","LG1",154.31
"Lcu.2RBY.Chr1p22964353","LG1",154.8
"Lcu.2RBY.Chr1p22964161","LG1",155.79
"Lcu.2RBY.Chr1p17375228","LG1",156.77
"Lcu.2RBY.Chr1p21677062","LG1",157.74
"Lcu.2RBY.Chr1p21689060","LG1",158.73
"Lcu.2RBY.Chr1p22110633","LG1",159.73
